Question,implicit_zero_shot,explicit_zero_shot,auto_cot
The 1981–82 Houston Cougars men's basketball team was led by the player who later played for what NBA club?,The 1981–82 Houston Cougars men's basketball team was led by the player who later played for what NBA club?,"The 1981–82 Houston Cougars men's basketball team was led by the player who later played for what NBA club?
Let's think step by step.","Q: The 1981–82 Houston Cougars men's basketball team was led by the player who later played for what NBA club?
Let's think step by step.
A. The player who was the best player in the Houston Cougars' 1981–82 basketball season.
B. The player who was the best player in the Houston Cougars' 1981–82 basketball season.
C. The player who was the best player in the Houston Cougars' 1981–82 basketball season.
D. The player who was the best player in the Houston Cougars' 1981–82 basketball season.

A:

The player who was the best player in the Houston Cougars' 1981–82 basketball season.

 Darnell Magee.

The player who was the best player in the Houston Cougars' 1981–82 basketball season.

 Kevin Williams.

The player who"
how much would an exterminator charge,how much would an exterminator charge,"how much would an exterminator charge
Let's think step by step.","Q: how much would an exterminator charge
Let's think step by step.

A: a lot of money.

Q: How much would an exterminator charge?

A: You can make your own estimates, but this is a ballpark.

Q: How much would an exterminator charge?

A: A lot of money.

Q: How much would an exterminator charge?

A: You can make your own estimates, but this is a ballpark.

Q: How much would an exterminator charge?

A: A lot of money.

Q: How much would an exterminator charge?

A: A lot of money.

Q: How much would an exterminator charge?

A: A lot of money"
"Who else was given the label in the quartet along with  Henry Drummond Wolff, John Gorst and a genuine Tory radical, who coined the term Tory Democracy ?","Who else was given the label in the quartet along with  Henry Drummond Wolff, John Gorst and a genuine Tory radical, who coined the term Tory Democracy ?","Who else was given the label in the quartet along with  Henry Drummond Wolff, John Gorst and a genuine Tory radical, who coined the term Tory Democracy ?
Let's think step by step.","Q: Who else was given the label in the quartet along with  Henry Drummond Wolff, John Gorst and a genuine Tory radical, who coined the term Tory Democracy ?
Let's think step by step.

What is a Tory Democracy ?

What is Tory Democracy ?

A Tory Democracy is a democracy in which a man is elected to the highest office in a country.

A Tory Democracy is a democracy in which a man is elected to the highest office in a country.

A Tory Democracy is a democracy in which a man is elected to the highest office in a country.

A Tory Democracy is a democracy in which a man is elected to the highest office in a country.

A Tory Democracy is a democracy in which a man is elected to the highest office in a country.

A Tory Democracy is a democracy in which a man is elected to the highest office in a country.

A"
What is the life stance of the interment of Pavel Tsitsianov?,What is the life stance of the interment of Pavel Tsitsianov?,"What is the life stance of the interment of Pavel Tsitsianov?
Let's think step by step.","Q: What is the life stance of the interment of Pavel Tsitsianov?
Let's think step by step. We will discuss it from the viewpoint of the family.
First of all, let us understand that we are not talking about a person who was killed.
We are talking about a person who is dead.
Now, the family is not thinking about a person who is dead.
We are thinking about a person who is alive and who is still living.
We will discuss about this.

P. Tsitsianov (1880-1956), a Russian-born, American-born,
  Russian-language writer, was born in St. Petersburg. He was a
  student at the St. Petersburg State University.

In 1922 he began writing his first book, The Life of a Young Man."
Which Le Monde diplomatique subject ID is Dominica's?,Which Le Monde diplomatique subject ID is Dominica's?,"Which Le Monde diplomatique subject ID is Dominica's?
Let's think step by step.","Q: Which Le Monde diplomatique subject ID is Dominica's?
Let's think step by step.

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?

Le Monde Diplomatique subject ID is Dominica's?"
"Who does Regina Marie ""Jenna"" Fischer share a romantic interest with that she received critical acclaim and Emmy nomination?","Who does Regina Marie ""Jenna"" Fischer share a romantic interest with that she received critical acclaim and Emmy nomination?","Who does Regina Marie ""Jenna"" Fischer share a romantic interest with that she received critical acclaim and Emmy nomination?
Let's think step by step.","Q: Who does Regina Marie ""Jenna"" Fischer share a romantic interest with that she received critical acclaim and Emmy nomination?
Let's think step by step.

Let's start with the big question, which is, Who does Regina Marie ""Jenna"" Fischer share a romantic interest with that she received critical acclaim and Emmy nomination?

Jenna is a very talented actress, but she has a very difficult time finding roles where she can be herself. When she was younger, she had a very public life, and she was very well known in the industry.

She is also very talented in her field. Her roles have been very well received, and she has a very good body of work.

In fact, she was nominated for an Emmy for her performance in the season 2 episode, ""The Family Jewels"".

She is a very talented actress. She is talented"
in what form does food travel through the esophagus,in what form does food travel through the esophagus,"in what form does food travel through the esophagus
Let's think step by step.","Q: in what form does food travel through the esophagus
Let's think step by step. 

A: the food does not travel through the esophagus
B: the food is absorbed from the esophagus
C: the food is passed through the stomach
D: the food is absorbed from the stomach
E: the food is passed through the small intestine
F: the food is absorbed from the small intestine
G: the food is passed through the large intestine
H: the food is absorbed from the large intestine
I: the food is passed through the rectum
J: the food is absorbed from the rectum
K: the food is passed through the anus
L: the food is absorbed from the anus
M: the food is passed through the mouth
N: the food is absorbed"
how much to charge for concrete work,how much to charge for concrete work,"how much to charge for concrete work
Let's think step by step.","Q: how much to charge for concrete work
Let's think step by step. The best way to do concrete work is to do it yourself. That is, it is best to have a good idea of how you want to do it, so you can work out the details yourself.

The best way to do concrete work is to do it yourself. That is, it is best to have a good idea of how you want to do it, so you can work out the details yourself.

1. You need to make a rough sketch of the surface.

2. You need to mark the lines and curves.

3. You need to mark the surface with paint.

4. You need to take measurements.

5. You need to mark the surface with chalk.

"
Do both Königskinder and The Knot Garden exist in multiple versions?,Do both Königskinder and The Knot Garden exist in multiple versions?,"Do both Königskinder and The Knot Garden exist in multiple versions?
Let's think step by step.","Q: Do both Königskinder and The Knot Garden exist in multiple versions?
Let's think step by step.
Königskinder is a German expression for the German phrase ""Heimlich königlich"".

The Königskinder is a German expression for the German phrase ""Heimlich königlich"".

The Königskinder is a German expression for the German phrase ""Heimlich königlich"".

The Königskinder is a German expression for the German phrase ""Heimlich königlich"".

The Königskinder is a German expression for the German phrase ""Heimlich königlich"".

The Königskinder is a German expression for the German phrase ""Heimlich königlich"".

"
how to become hvac certified in kansas,how to become hvac certified in kansas,"how to become hvac certified in kansas
Let's think step by step.","Q: how to become hvac certified in kansas
Let's think step by step.

A: what is the most important thing that you want to know about?

Q:

A:

Q: How to become hvac certified in kansas

A:

Q: How to become hvac certified in kansas

A:

Q: How to become hvac certified in kansas

A:

Q: How to become hvac certified in kansas

A:

Q: How to become hvac certified in kansas

A:

Q: How to become hvac certified in kansas

A:

Q: How to become hvac certified in kansas

A"
